revisionId	branch	timestamp	comment	parent1	parent2
7619:0a3451048205	infinica_5.1_sso	Tue Oct 04 13:41:16 CEST 2016	mschedenig	ICR uses AUL for authentication.	7524:e35585597e5c	null
7618:3bb4a36a096a	infinica_5.1	Wed Oct 05 10:40:11 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7615:7b18385f43d6	7615:7b18385f43d6
7617:7925fd430f26	infinica_5.1_mkovalik	Wed Oct 05 10:37:34 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7616:d51ed60ea9c7	7616:d51ed60ea9c7
7616:d51ed60ea9c7	infinica_5.1_mkovalik	Wed Oct 05 10:35:10 CEST 2016	Matej Kovalik	Performance/logging issues	7601:7ccc84495996	null
7615:7b18385f43d6	infinica_5.1	Tue Oct 04 14:40:39 CEST 2016	Bogdan Mustiata	Notify with a delay the definitions change.	7613:03b5f47857db	null
7614:38d583bb6849	infinica_5.1_mbranicky	Wed Oct 05 08:28:19 CEST 2016	mbranicky	Merge with infinica_5.1	7611:b33656bb8afe	7611:b33656bb8afe
7613:03b5f47857db	infinica_5.1	Tue Oct 04 14:06:34 CEST 2016	Bogdan Mustiata	Fixed insertion point definition loading.	null	null
7612:b1aa9d7e17af	infinica_5.1	Tue Oct 04 12:53:24 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7606:a0f222106883	7606:a0f222106883
7611:b33656bb8afe	infinica_5.1_mbranicky	Tue Oct 04 12:52:19 CEST 2016	mbranicky	Merge with infinica_5.1	7610:eab10881bc9b	7610:eab10881bc9b
7610:eab10881bc9b	infinica_5.1_mbranicky	Tue Oct 04 12:50:03 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - German translations.	null	null
7609:7a3da29eee3d	infinica_5.1_mbranicky	Tue Oct 04 12:42:45 CEST 2016	mbranicky	Fix for debug-pipeline-variables HT - no-more stack-overflow error for XML type of value.	null	null
7608:6e94fc4acccc	infinica_5.1_mbranicky	Tue Oct 04 12:30:44 CEST 2016	mbranicky	WP-885 It's not possible to edit user's own comments	7585:3afa1523ce7c	null
